           10413       3	D_1+                    D_{1}^{+}                       
          -10413      -3	D_1-                    D_{1}^{-}                       
           10421       0	D_0*0                   D_{0}^{*0}                      
          -10421       0	anti-D_0*0              \bar{D}_{0}^{*0}                
           10423       0	D_10                    D_{1}^{0}                       
          -10423       0	anti-D_10               \bar{D}_{1}^{0}                 
           10431       3	D_s0*+                  D_{s0}^{*+}                     
          -10431      -3	D_s0*-                  D_{s0}^{*-}                     
           10433       3	D_s1+                   D_{s1}^{+}                      
          -10433      -3	D_s1-                   D_{s1}^{-}                      
           10441       0	chi_c0                  \chi_{c0}                       
           10443       0	h_c                     h_{c}                           
           10511       0	B_0*0                   B_{0}^{*0}                      
          -10511       0	anti-B_0*0              \bar{B}_{0}^{*0}                
           10513       0	B_10                    B_{1}(L)^{0}                    
          -10513       0	anti-B_10               \bar{B}_{1}(L)^{0}              
           10521       3	B_0*+                   B_{0}^{*+}                      
          -10521      -3	B_0*-                   B_{0}^{*-}                      
           10523       3	B_1+                    B_{1}^(L){+}                    
          -10523      -3	B_1-                    B_{1}^(L){-}                    
           10531       0	B_s0*0                  B_{s0}^{*0}                     
          -10531       0	anti-B_s0*0             \bar{B}_{s0}^{*0}               
           10533       0	B_s10                   B_{s1}(L)^{0}                   
          -10533       0	anti-B_s10              \bar{B}_{s1}(L)^{0}             
           10541       3	B_c0*+                  B_{c0}^{*+}                     
          -10541      -3	B_c0*-                  B_{c0}^{*-}                     
           10543       3	B_c1+                   B_{c1}(L)^{+}                   
          -10543      -3	B_c1-                   B_{c1}(L)^{-}                   
           10551       0	chi_b0                  \chi_{b0}(1P)                   
           10553       0	h_b                     h_{b}(1P)                       
           10555       0	chi_b2(2P)              \chi_{b2}(2P)                   
           10557       0	Upsilon_3(2D)           \Upsilon_{3}(2D)                
           13122       0	Lambda(1405)0           \Lambda(1405)^{0}               
          -13122       0	anti-Lambda(1405)0      \bar{\Lambda}(1405)^{0}         
           13124       0	Lambda(1690)0           \Lambda(1690)^{0}               
          -13124       0	anti-Lambda(1690)0      \bar{\Lambda}(1690)^{0}         
           13126       0	Lambda(1830)0           \Lambda(1830)^{0}               
          -13126       0	anti-Lambda(1830)0      \bar{\Lambda}(1830)^{0}         
           13212       0	Sigma(1660)0            \Sigma(1660)^{0}                
          -13212       0	anti-Sigma(1660)0       \bar{\Sigma}(1660)^{0}          
           13214       0	Sigma(1670)0            \Sigma(1670)^{0}                
          -13214       0	anti-Sigma(1670)0       \bar{\Sigma}(1670)^{0}          
           14122       3	Lambda_c(2593)+         \Lambda_{c}(2593)^{+}           
          -14122      -3	anti-Lambda_c(2593)-    \bar{\Lambda}_{c}(2593)^{-}     
           14124       3	Lambda_c(2625)+         \Lambda_{c}(2625)^{+}           
          -14124      -3	anti-Lambda_c(2625)-    \bar{\Lambda}_{c}(2625)^{-}     
           20022       0	Cerenkov                Cerenkov                        
           20111       0	pi(2S)0                 \pi(2S)^{0}                     
           20113       0	a_10                    a_{1}^{0}                       
           20211       3	pi(2S)+                 \pi(2S)^{+}                     
          -20211      -3	pi(2S)-                 \pi(2S)^{-}                     
           20213       3	a_1+                    a_{1}^{+}                       
          -20213      -3	a_1-                    a_{1}^{-}                       
           20221       0	eta(2S)                 \eta(2S)                        
           20223       0	f_1                     f_{1}(1285)                     
           20313       0	K'_10                   K_1^{'0}                        
          -20313       0	anti-K'_10              \bar{K}_1^{'0}                  
           20323       3	K'_1+                   K_1^{'+}                        
          -20323      -3	K'_1-                   \bar{K}_1^{'-}                  
           20333       0	f'_1                    f_{1}(1420)                     
           20413       3	D'_1+                   D_{1}^{\prime+}                 
          -20413      -3	D'_1-                   D_{1}^{\prime-}                 
           20423       0	D'_10                   D_{1}^{\prime0}                 
          -20423       0	anti-D'_10              \bar{D}_{1}^{\prime0}           
           20433       3	D'_s1+                  D_{s1}^{\prime+}                
          -20433      -3	D'_s1-                  D_{s1}^{\prime-}                
           20441       0	eta_c(2S)               \eta_{c}(2S)                    
           20443       0	chi_c1                  \chi_{c1}                       
           20513       0	B'_10                   B_{1}(H)^{0}                    
          -20513       0	anti-B'_10              \bar{B}_{1}(H)^{0}              
           20523       3	B'_1+                   B_{1}(H)^{+}                    
          -20523      -3	B'_1-                   B_{1}(H)^{-}                    
           20533       0	B'_s10                  B_{s1}(H)^{0}                   
          -20533       0	anti-B'_s10             \bar{B}_{s1}(H)^{0}             
           20543       3	B'_c1+                  B_{c1}(H)^{+}                   
          -20543      -3	B'_c1-                  B_{c1}(H)^{-}                   
           20551       0	eta_b(2S)               \eta_{b}(2S)                    
           20553       0	chi_b1                  \chi_{b1}                       
           20555       0	chi_b2(3P)              \chi_{b2}(3P)                   
           23122       0	Lambda(1600)0           \Lambda(1600)^{0}               
          -23122       0	anti-Lambda(1600)0      \bar{\Lambda}(1600)^{0}         
           23212       0	Sigma(1750)0            \Sigma(1750)^{0}                
          -23212       0	anti-Sigma(1750)0       \bar{\Sigma}(1750)^{0}          
           30113       0	rho(2S)0                \rho(2S)^{0}                    
           30213       3	rho(2S)+                \rho(2S)^{+}                    
          -30213      -3	rho(2S)-                \rho(2S)^{-}                    
           30223       0	omega(2S)               \omega(2S)                      
           30313       0	K''*0                   K^{*}(1680)^{0}                 
          -30313       0	anti-K''*0              \bar{K^{*}(1680)^{0}}           
           30323       3	K''*+                   K^{*}(1680)^{+}                 
          -30323      -3	K''*-                   K^{*}(1680)^{-}                 
           30343       0	Xsd                     X_{sd}                          
          -30343       0	anti-Xsd                \bar{X}_{sd}                    
           30353       3	Xsu                     X_{su}                          
          -30353      -3	anti-Xsu                \bar{X}_{su}                    
           30363       0	Xss                     X_{ss}                          
          -30363       0	anti-Xss                \bar{X}_{ss}                    
           30373       0	Xdd                     X_{dd}                          
          -30373       0	anti-Xdd                \bar{X}_{dd}                    
           30383       3	Xdu                     X_{du}                          
          -30383      -3	anti-Xdu                \bar{X}_{du}                    
           30411       3	D(2S)+                  D(2S)^{+}                       
          -30411      -3	D(2S)-                  D(2S)^{-}                       
           30413       3	D*(2S)+                 D^{*}(2S)^{+}                   
          -30413      -3	D*(2S)-                 D^{*}(2S)^{-}                   
           30421       0	D(2S)0                  D(2S)^{0}                       
          -30421       0	anti-D(2S)0             \bar{D}(2S)^{0}                 
           30423       0	D*(2S)0                 D^{*}(2S)^{0}                   
          -30423       0	anti-D*(2S)0            \bar{D}^{*}(2S)^{0}             
           30443       0	psi(3770)               \psi(3770)                      
           30551       0	chi_b0(2P)              \chi_{b0}(2P)                   
           30553       0	Upsilon(2S)             \Upsilon(2S)                    
           30555       0	Upsilon_2(1D)           \Upsilon_{2}(1D)                
           33122       0	Lambda(1670)0           \Lambda(1670)^{0}               
          -33122       0	anti-Lambda(1670)0      \bar{\Lambda}(1670)^{0}         
           40113       0	rho(3S)0                \rho(3S)^{0}                    
           40213       3	rho(3S)+                \rho(3S)^{+}                    
          -40213      -3	rho(3S)-                \rho(3S)^{-}                    
           40551       0	eta_b(3S)               \eta_{b}(3S)                    
           40553       0	h_b(2P)                 h_{b}(2P)                       
           40555       0	eta_b2(1D)              \eta_{b2}(1D)                   
